
================================================================================
Monitoring Started: 2025-10-11 21:11:21
================================================================================
2025-10-11 21:17:04 | CPU: 4.1% | Freq: 3187MHz | Load: 0.11/0.11/0.06 | MEM: 86.7% | Used: 6.75GB | Avail: 1.04GB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [10.8%, 7.8%, 12.5%, 6.1%, 16.9%, 6.2%, 17.2%, 7.7%]
2025-10-11 21:17:11 | CPU: 5.8% | Freq: 3187MHz | Load: 0.10/0.11/0.06 | MEM: 87.0% | Used: 6.77GB | Avail: 1.02GB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [18.2%, 7.8%, 10.9%, 10.8%, 15.6%, 1.6%, 9.4%, 23.1%]
2025-10-11 21:17:18 | CPU: 12.7% | Freq: 3187MHz | Load: 0.08/0.10/0.06 | MEM: 87.3% | Used: 6.80GB | Avail: 1012.32MB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [4.7%, 0.0%, 3.1%, 1.6%, 12.5%, 4.7%, 7.8%, 6.2%]
2025-10-11 21:17:25 | CPU: 7.2% | Freq: 3187MHz | Load: 0.08/0.10/0.05 | MEM: 87.1% | Used: 6.79GB | Avail: 1.00GB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [0.0%, 0.0%, 6.2%, 3.1%, 18.2%, 3.1%, 3.1%, 4.6%]
2025-10-11 21:17:32 | CPU: 4.1% | Freq: 3187MHz | Load: 0.07/0.10/0.05 | MEM: 87.2% | Used: 6.79GB | Avail: 1021.91MB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [13.2%, 0.0%, 10.8%, 3.1%, 15.4%, 1.6%, 0.0%, 0.0%]
2025-10-11 21:17:39 | CPU: 3.5% | Freq: 3187MHz | Load: 0.06/0.10/0.05 | MEM: 87.1% | Used: 6.78GB | Avail: 1.01GB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [0.0%, 0.0%, 7.7%, 1.6%, 20.3%, 0.0%, 0.0%, 0.0%]
2025-10-11 21:17:46 | CPU: 8.9% | Freq: 3187MHz | Load: 0.06/0.09/0.05 | MEM: 85.9% | Used: 6.69GB | Avail: 1.10GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [6.2%, 4.7%, 9.1%, 10.6%, 20.0%, 7.7%, 3.1%, 4.7%]
2025-10-11 21:17:53 | CPU: 3.3% | Freq: 3187MHz | Load: 0.05/0.09/0.05 | MEM: 86.0% | Used: 6.70GB | Avail: 1.09GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [9.2%, 0.0%, 7.7%, 0.0%, 12.5%, 0.0%, 6.3%, 0.0%]
2025-10-11 21:18:00 | CPU: 8.8% | Freq: 3187MHz | Load: 0.04/0.09/0.05 | MEM: 86.2% | Used: 6.71GB | Avail: 1.07GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [9.2%, 6.2%, 12.5%, 9.4%, 15.4%, 4.8%, 9.4%, 4.8%]
2025-10-11 21:18:07 | CPU: 4.1% | Freq: 3187MHz | Load: 0.04/0.09/0.05 | MEM: 86.2% | Used: 6.71GB | Avail: 1.07GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [4.6%, 0.0%, 4.7%, 0.0%, 15.4%, 0.0%, 1.6%, 0.0%]
2025-10-11 21:18:14 | CPU: 7.6% | Freq: 3187MHz | Load: 0.03/0.08/0.05 | MEM: 86.2% | Used: 6.72GB | Avail: 1.07GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [7.6%, 0.0%, 4.7%, 1.6%, 18.2%, 0.0%, 1.6%, 1.6%]
2025-10-11 21:18:21 | CPU: 4.9% | Freq: 3187MHz | Load: 0.03/0.08/0.05 | MEM: 86.4% | Used: 6.73GB | Avail: 1.06GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [7.6%, 4.5%, 7.8%, 1.6%, 20.3%, 4.7%, 9.2%, 3.2%]
2025-10-11 21:18:28 | CPU: 2.9% | Freq: 3187MHz | Load: 0.03/0.08/0.05 | MEM: 86.3% | Used: 6.72GB | Avail: 1.07GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [9.1%, 0.0%, 3.1%, 1.6%, 10.9%, 4.7%, 3.1%, 0.0%]
2025-10-11 21:18:35 | CPU: 6.8% | Freq: 3187MHz | Load: 0.02/0.08/0.05 | MEM: 86.3% | Used: 6.72GB | Avail: 1.07GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [4.7%, 0.0%, 10.9%, 10.6%, 12.3%, 3.1%, 7.8%, 3.1%]
2025-10-11 21:18:42 | CPU: 3.1% | Freq: 3187MHz | Load: 0.02/0.08/0.05 | MEM: 86.3% | Used: 6.72GB | Avail: 1.07GB | Total: 7.79GB | SWAP: 22.7% | Per-Core: [11.9%, 0.0%, 9.2%, 0.0%, 11.1%, 0.0%, 0.0%, 0.0%]
2025-10-11 21:18:49 | CPU: 3.9% | Freq: 3187MHz | Load: 0.02/0.08/0.05 | MEM: 86.6% | Used: 6.75GB | Avail: 1.04GB | Total: 7.79GB | SWAP: 22.6% | Per-Core: [6.2%, 0.0%, 15.2%, 7.6%, 9.4%, 7.8%, 6.2%, 9.2%]
2025-10-11 21:18:56 | CPU: 5.8% | Freq: 3187MHz | Load: 0.02/0.07/0.05 | MEM: 86.7% | Used: 6.75GB | Avail: 1.03GB | Total: 7.79GB | SWAP: 22.6% | Per-Core: [9.0%, 1.6%, 6.2%, 6.2%, 10.9%, 1.6%, 1.6%, 1.6%]
2025-10-11 21:19:03 | CPU: 4.1% | Freq: 3187MHz | Load: 0.01/0.07/0.05 | MEM: 87.1% | Used: 6.78GB | Avail: 1.00GB | Total: 7.79GB | SWAP: 22.6% | Per-Core: [6.2%, 0.0%, 7.8%, 4.6%, 16.9%, 0.0%, 7.7%, 0.0%]
2025-10-11 21:19:10 | CPU: 11.3% | Freq: 3187MHz | Load: 0.01/0.07/0.05 | MEM: 89.1% | Used: 6.94GB | Avail: 865.63MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [9.1%, 0.0%, 4.6%, 1.6%, 10.9%, 1.6%, 1.6%, 0.0%]
2025-10-11 21:19:17 | CPU: 4.3% | Freq: 3187MHz | Load: 0.01/0.07/0.05 | MEM: 89.1% | Used: 6.94GB | Avail: 867.09MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [9.1%, 0.0%, 6.2%, 0.0%, 13.8%, 1.6%, 6.2%, 0.0%]
2025-10-11 21:19:24 | CPU: 4.5% | Freq: 3187MHz | Load: 0.01/0.07/0.05 | MEM: 89.3% | Used: 6.95GB | Avail: 856.16MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [0.0%, 0.0%, 3.1%, 1.6%, 15.4%, 1.6%, 0.0%, 0.0%]
2025-10-11 21:19:31 | CPU: 5.0% | Freq: 3187MHz | Load: 0.01/0.07/0.05 | MEM: 89.4% | Used: 6.96GB | Avail: 847.65MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [4.6%, 0.0%, 6.2%, 0.0%, 12.3%, 1.6%, 1.6%, 4.7%]
2025-10-11 21:19:38 | CPU: 3.9% | Freq: 3187MHz | Load: 0.01/0.06/0.05 | MEM: 89.3% | Used: 6.96GB | Avail: 850.50MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [6.1%, 0.0%, 3.1%, 4.5%, 15.4%, 1.5%, 1.6%, 0.0%]
2025-10-11 21:19:45 | CPU: 5.2% | Freq: 3187MHz | Load: 0.01/0.06/0.05 | MEM: 88.2% | Used: 6.87GB | Avail: 939.54MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [16.4%, 9.4%, 16.9%, 13.8%, 14.1%, 7.9%, 12.5%, 6.3%]
2025-10-11 21:19:52 | CPU: 4.1% | Freq: 3187MHz | Load: 0.01/0.06/0.05 | MEM: 88.4% | Used: 6.89GB | Avail: 924.29MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [7.6%, 0.0%, 6.2%, 0.0%, 10.8%, 0.0%, 4.7%, 3.1%]
2025-10-11 21:19:59 | CPU: 11.6% | Freq: 3187MHz | Load: 0.01/0.06/0.05 | MEM: 88.6% | Used: 6.90GB | Avail: 912.14MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [12.3%, 3.2%, 7.8%, 7.8%, 10.8%, 9.4%, 19.0%, 10.9%]
2025-10-11 21:20:06 | CPU: 4.1% | Freq: 3187MHz | Load: 0.01/0.06/0.05 | MEM: 88.5% | Used: 6.89GB | Avail: 917.53MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [1.6%, 0.0%, 6.2%, 1.6%, 15.6%, 3.1%, 9.4%, 3.2%]
2025-10-11 21:20:13 | CPU: 6.0% | Freq: 3187MHz | Load: 0.00/0.06/0.05 | MEM: 88.4% | Used: 6.89GB | Avail: 922.00MB | Total: 7.79GB | SWAP: 22.5% | Per-Core: [6.2%, 0.0%, 9.2%, 0.0%, 7.8%, 1.6%, 1.6%, 0.0%]
2025-10-11 21:20:20 | CPU: 10.7% | Freq: 3187MHz | Load: 0.00/0.06/0.05 | MEM: 87.7% | Used: 6.83GB | Avail: 978.14MB | Total: 7.79GB | SWAP: 22.4% | Per-Core: [3.1%, 4.7%, 9.4%, 3.1%, 15.4%, 3.1%, 3.1%, 1.6%]
2025-10-11 21:20:27 | CPU: 5.4% | Freq: 3187MHz | Load: 0.00/0.05/0.04 | MEM: 82.2% | Used: 6.40GB | Avail: 1.38GB | Total: 7.79GB | SWAP: 22.3% | Per-Core: [4.6%, 0.0%, 4.7%, 1.6%, 13.8%, 0.0%, 1.6%, 0.0%]
2025-10-11 21:20:34 | CPU: 3.3% | Freq: 3187MHz | Load: 0.00/0.05/0.04 | MEM: 82.3% | Used: 6.41GB | Avail: 1.38GB | Total: 7.79GB | SWAP: 22.3% | Per-Core: [9.1%, 1.6%, 10.9%, 7.8%, 12.5%, 10.9%, 9.2%, 6.3%]
